term;ngram_type
suggest;unigram
potential;unigram
talk;unigram
via;unigram
caregivers;unigram
curious;unigram
reinforce;unigram
facilitating;unigram
conversation;unigram
go;unigram
tomtom;unigram
insightsinsights;unigram
caregiverscaregivers;unigram
fear;unigram
reach;unigram
help;unigram
reason;unigram
getting;unigram
helpful;unigram
fears;unigram
treatment;unigram
deal;unigram
centers;unigram
going;unigram
see;unigram
phd;unigram
tubetube;unigram
fearsfears;unigram
supportsupport;unigram
centerscenters;unigram
procedureprocedure;unigram
partnerpartner;unigram
conversationconversation;unigram
experienceexperience;unigram
30-40;unigram
enrolling;unigram
becoming;unigram
dislodged;unigram
related;unigram
issues;unigram
within;unigram
troubleshoot;unigram
attention;unigram
absolutely;unigram
considering;unigram
current;unigram
due;unigram
work;unigram
pump;unigram
guess;unigram
families;unigram
rn;unigram
msn;unigram
agpcnp-bc;unigram
half;unigram
douglas;unigram
varian;unigram
interested;unigram
someone;unigram
already;unigram
undergone;unigram
tend;unigram
utilize;unigram
family;unigram
dbs;unigram
marketing;unigram
could;unigram
since;unigram
pa-c;unigram
probably;unigram
educating;unigram
providing;unigram
literature;unigram
information;unigram
filling;unigram
forms;unigram
communicating;unigram
colleagues;unigram
find;unigram
end;unigram
decides;unigram
result;unigram
become;unigram
insightful;unigram
whether;unigram
serious;unigram
wanting;unigram
less;unigram
learning;unigram
guided;unigram
enthusiasm;unigram
board;unigram
mention;unigram
partners;unigram
main;unigram
problem;unigram
feel;unigram
technology;unigram
pull;unigram
plug;unigram
hearing;unigram
form;unigram
often;unigram
doubt;unigram
familiesfamilies;unigram
mindmind;unigram
davisdavis;unigram
treatmenttreatment;unigram
rnrn;unigram
duopaduopa;unigram
interestedinterested;unigram
someonesomeone;unigram
jessicajessica;unigram
informationinformation;unigram
formsforms;unigram
colleaguescolleagues;unigram
decidesdecides;unigram
resultresult;unigram
insightfulinsightful;unigram
seriousserious;unigram
boardboard;unigram
problemproblem;unigram
plugplug;unigram
doubtdoubt;unigram
primary;unigram
concerns;unigram
managing;unigram
clogged;unigram
established;unigram
nmh;unigram
us;unigram
appointment;unigram
clinic;unigram
24-48;unigram
hours;unigram
arrange;unigram
replacement;unigram
endoscopically;unigram
week;unigram
outpatient;unigram
long;unigram
admission;unigram
personally;unigram
attest;unigram
degree;unigram
avram;unigram
fraint;unigram
contribute;unigram
population;unigram
seen;unigram
signing;unigram
tubes;unigram
protocol;unigram
detail;unigram
loved;unigram
ones;unigram
confused;unigram
night;unigram
pulling;unigram
caught;unigram
doors;unigram
etc;unigram
dexterity;unigram
issue;unigram
concerned;unigram
order;unigram
alarms;unigram
program;unigram
mitigating;unigram
try;unigram
best;unigram
take;unigram
troubleshooting;unigram
home;unigram
call;unigram
page;unigram
afterhours;unigram
added;unigram
gives;unigram
piece;unigram
still;unigram
remaining;unigram
taking;unigram
l-dopa;unigram
good;unigram
response;unigram
drug;unigram
decide;unigram
want;unigram
given;unigram
thinks;unigram
nearly;unigram
enrolled;unigram
suspect;unigram
case;unigram
questions;unigram
living;unigram
permanent;unigram
tubing;unigram
maybe;unigram
lot;unigram
sign;unigram
consent;unigram
follow;unigram
adequate;unigram
close;unigram
systems;unigram
big;unigram
teams;unigram
aggressive;unigram
procedures;unigram
shift;unigram
towards;unigram
spectrum;unigram
strategies;unigram
deployed;unigram
abbvie;unigram
corporate;unigram
entity;unigram
understand;unigram
sure;unigram
patietns;unigram
change;unigram
neurologists;unigram
seeing;unigram
nps;unigram
similar;unigram
40-50;unigram
social;unigram
familial;unigram
secondarily;unigram
many;unigram
proceed;unigram
robust;unigram
group;unigram
ask;unigram
comfortable;unigram
share;unigram
prospective;unigram
interest;unigram
nothing;unigram
better;unigram
goes;unigram
intended;unigram
surgeon;unigram
mds;unigram
different;unigram
center;unigram
justice;unigram
explaining;unigram
md;unigram
concernsconcerns;unigram
nmhnmh;unigram
clinicclinic;unigram
hourshours;unigram
replacementreplacement;unigram
outpatientoutpatient;unigram
admissionadmission;unigram
populationpopulation;unigram
detaildetail;unigram
fearfear;unigram
duedue;unigram
onesones;unigram
nightnight;unigram
doorsdoors;unigram
issueissue;unigram
troubleshoottroubleshoot;unigram
helpfulhelpful;unigram
workwork;unigram
helphelp;unigram
issuesissues;unigram
decidedecide;unigram
thinksthinks;unigram
suspectsuspect;unigram
questionsquestions;unigram
permanentpermanent;unigram
consentconsent;unigram
lacklack;unigram
systemssystems;unigram
proceduresprocedures;unigram
towardstowards;unigram
thinkthink;unigram
strategiesstrategies;unigram
suresure;unigram
neurologistsneurologists;unigram
npsnps;unigram
nothingnothing;unigram
mdsmds;unigram
justicejustice;unigram
phdphd;unigram
karlkarl;unigram
depends;unigram
cost;unigram
may;unigram
product;unigram
like;unigram
taste;unigram
could;unigram
education;unigram
actually;unigram
many;unigram
reinforce;unigram
importance;unigram
using;unigram
trial;unigram
higher;unigram
likelihood;unigram
adherence;unigram
much;unigram
costs;unigram
go;unigram
purchase;unigram
makes;unigram
feel;unigram
best;unigram
answer;unigram
availability;unigram
local;unigram
stores;unigram
shop;unigram
economic;unigram
status;unigram
think;unigram
biggest;unigram
obstacle;unigram
alleviate;unigram
burden;unigram
would;unigram
helpful;unigram
success;unigram
eyes;unigram
beholder;unigram
perceived;unigram
benefit;unigram
way;unigram
track;unigram
help;unigram
encourage;unigram
continued;unigram
use;unigram
protein;unigram
tracker;unigram
dietician;unigram
website;unigram
touch-point;unigram
follow;unigram
contact;unigram
via;unigram
mail;unigram
email;unigram
text;unigram
thoughts;unigram
flavor;unigram
doable;unigram
seen;unigram
prescriptions;unigram
half;unigram
filled;unigram
pharmacy;unigram
even;unigram
fewer;unigram
taken;unigram
reasons;unigram
including;unigram
patient;unigram
motivation;unigram
proper;unigram
instruction;unigram
etc;unigram
factors;unigram
make;unigram
hard;unigram
say;unigram
yes;unigram
question;unigram
liked;unigram
afford;unigram
importanceimportance;unigram
trialtrial;unigram
adherenceadherence;unigram
costscosts;unigram
productproduct;unigram
feelfeel;unigram
answeranswer;unigram
storesstores;unigram
statusstatus;unigram
obstacleobstacle;unigram
burdenburden;unigram
successsuccess;unigram
tracktrack;unigram
useuse;unigram
contactcontact;unigram
thoughtsthoughts;unigram
doabledoable;unigram
prescriptionsprescriptions;unigram
pharmacypharmacy;unigram
reasonsreasons;unigram
motivationmotivation;unigram
educationeducation;unigram
factorsfactors;unigram
hardhard;unigram
questionquestion;unigram
tastetaste;unigram
months;unigram
would;unigram
data;unigram
centers;unigram
us;unigram
monthsmonths;unigram
days;unigram
patient;unigram
guess;unigram
duopa;unigram
time;unigram
looking;unigram
centerscenters;unigram
vs;unigram
procedures;unigram
estimate;unigram
see;unigram
clarify;unigram
across;unigram
missing;unigram
agree;unigram
jessica;unigram
karl;unigram
question;unigram
daysdays;unigram
proceduresprocedures;unigram
datadata;unigram
procedure;unigram
also;unigram
availability;unigram
2-3;unigram
much;unigram
say;unigram
regularly;unigram
prescribe;unigram
longer;unigram
weeks;unigram
case;unigram
brad;unigram
durbin;unigram
douglas;unigram
varian;unigram
kendall;unigram
cook;unigram
eric;unigram
lynch;unigram
share;unigram
information;unigram
analyze;unigram
phd;unigram
pa-c;unigram
bias;unigram
regularity;unigram
frequent;unigram
think;unigram
30-45;unigram
region;unigram
frame;unigram
average;unigram
timetime;unigram
weeksweeks;unigram
casecase;unigram
lynchlynch;unigram
informationinformation;unigram
frequentfrequent;unigram
questionquestion;unigram
roughly;unigram
30-60;unigram
based;unigram
willingness;unigram
scheduling;unigram
admission;unigram
oour;unigram
hospitalized;unigram
overnight;unigram
monitoring;unigram
adds;unigram
coordination;unigram
well;unigram
challenging;unigram
covid;unigram
given;unigram
fear;unigram
hospitalization;unigram
exposure;unigram
hospital;unigram
bed;unigram
elective;unigram
still;unigram
quicker;unigram
dbs;unigram
varies;unigram
similarly;unigram
northwestern;unigram
1-3;unigram
3-6;unigram
cleared;unigram
ship;unigram
take;unigram
4-6;unigram
depends;unigram
gi;unigram
clearance;unigram
script;unigram
mean;unigram
preauthorization;unigram
process;unigram
complete;unigram
writing;unigram
yes;unigram
really;unigram
sure;unigram
one;unigram
assuming;unigram
practices;unigram
face;unigram
challenges;unigram
readiness;unigram
least;unigram
several;unigram
sandeep;unigram
thakkar;unigram
good;unigram
implies;unigram
country;unigram
stayed;unigram
fairly;unigram
steady;unigram
years;unigram
increased;unigram
decreased;unigram
point;unigram
without;unigram
dat;unigram
oether;unigram
bit;unigram
non-experienced;unigram
willingnesswillingness;unigram
admissionadmission;unigram
patientpatient;unigram
monitoringmonitoring;unigram
coordinationcoordination;unigram
covidcovid;unigram
exposureexposure;unigram
dbsdbs;unigram
variesvaries;unigram
shipship;unigram
clarifyclarify;unigram
completecomplete;unigram
suresure;unigram
practicespractices;unigram
readinessreadiness;unigram
jessicajessica;unigram
impliesimplies;unigram
countrycountry;unigram
frameframe;unigram
yearsyears;unigram
karlkarl;unigram
bitbit;unigram
would;unigram
patients;unigram
patientspatients;unigram
tube;unigram
think;unigram
see;unigram
patient;unigram
patientpatient;unigram
typically;unigram
estimate;unigram
one;unigram
peg-j;unigram
enroll;unigram
tubetube;unigram
could;unigram
defer;unigram
lower;unigram
probably;unigram
less;unigram
go;unigram
placed;unigram
placement;unigram
duopa;unigram
first;unigram
seen;unigram
surgeon;unigram
process;unigram
neurologist;unigram
may;unigram
want;unigram
processprocess;unigram
30-40;unigram
due;unigram
fear;unigram
managing;unigram
pump;unigram
technology;unigram
10-20;unigram
hello;unigram
thank;unigram
comments;unigram
topic;unigram
improve;unigram
percentage;unigram
carolyn;unigram
taylor;unigram
rn;unigram
msn;unigram
agpcnp-bc;unigram
surprised;unigram
guessed;unigram
anxious;unigram
consistently;unigram
prevails;unigram
tom;unigram
davis;unigram
pretty;unigram
sure;unigram
practically;unigram
us;unigram
gen;unigram
surg;unigram
clinic;unigram
eventually;unigram
recent;unigram
previously;unigram
gastric;unigram
bypass;unigram
required;unigram
modified;unigram
laparoscopic;unigram
since;unigram
represent;unigram
significantly;unigram
invasive;unigram
procedure;unigram
trial;unigram
nasojejunal;unigram
felt;unigram
much;unigram
benefit;unigram
medication;unigram
decided;unigram
proceed;unigram
permanent;unigram
ca;unigram
ultimately;unigram
gotten;unigram
10-15;unigram
asked;unigram
move;unigram
forward;unigram
confident;unigram
idea;unigram
therapy;unigram
keeps;unigram
great;unigram
job;unigram
instilling;unigram
confidence;unigram
based;unigram
outcomes;unigram
prior;unigram
cases;unigram
wish;unigram
able;unigram
start;unigram
auth;unigram
seeing;unigram
proceduralist;unigram
affect;unigram
number;unigram
reasonable;unigram
covid;unigram
higher;unigram
usual;unigram
like;unigram
stay;unigram
form;unigram
hospital;unigram
answer;unigram
brad;unigram
durbin;unigram
ways;unigram
bring;unigram
sandeep;unigram
thakkar;unigram
suggested;unigram
prescribe;unigram
neuro;unigram
gi;unigram
reassured;unigram
usually;unigram
time;unigram
come;unigram
interventional;unigram
therapies;unigram
something;unigram
delay;unigram
good;unigram
practice;unigram
discovers;unigram
trepidation;unigram
patien;unigram
side;unigram
fearfear;unigram
technologytechnology;unigram
commentscomments;unigram
thinkthink;unigram
percentagepercentage;unigram
rnrn;unigram
estimateestimate;unigram
anxiousanxious;unigram
tomtom;unigram
suresure;unigram
clinicclinic;unigram
bypassbypass;unigram
procedureprocedure;unigram
medicationmedication;unigram
placementplacement;unigram
peg-jpeg-j;unigram
10-1510-15;unigram
therapytherapy;unigram
keepskeeps;unigram
jobjob;unigram
ableable;unigram
enrollenroll;unigram
numbernumber;unigram
covidcovid;unigram
bradbrad;unigram
waysways;unigram
thakkarthakkar;unigram
gigi;unigram
comecome;unigram
therapiestherapies;unigram
somethingsomething;unigram
practicepractice;unigram
sideside;unigram
patients;unigram
procedure;unigram
would;unigram
time;unigram
duopa;unigram
patientspatients;unigram
peg-j;unigram
patient;unigram
often;unigram
days;unigram
months;unigram
script;unigram
usually;unigram
insurance;unigram
second;unigram
thoughts;unigram
frame;unigram
clearance;unigram
weeks;unigram
daysdays;unigram
monthsmonths;unigram
range;unigram
surgeon;unigram
know;unigram
wait;unigram
agree;unigram
likely;unigram
delay;unigram
think;unigram
sped;unigram
clinic;unigram
proceed;unigram
30-60;unigram
say;unigram
day;unigram
believe;unigram
evaluated;unigram
surgery;unigram
prior;unigram
med;unigram
approval;unigram
better;unigram
none;unigram
ever;unigram
complained;unigram
consultation;unigram
based;unigram
proceeding;unigram
leo;unigram
1-2;unigram
signing;unigram
usual;unigram
write;unigram
notes;unigram
past;unigram
process;unigram
hi;unigram
jessica;unigram
amp;unigram
others;unigram
years;unigram
prescribing;unigram
particular;unigram
reason;unigram
quick;unigram
depending;unigram
availability;unigram
gi;unigram
probably;unigram
scheduled;unigram
ready;unigram
year;unigram
motivated;unigram
however;unigram
rangerange;unigram
surgerysurgery;unigram
surgeonsurgeon;unigram
timetime;unigram
peg-jpeg-j;unigram
insuranceinsurance;unigram
thinkthink;unigram
notesnotes;unigram
jessicajessica;unigram
clearanceclearance;unigram
yearsyears;unigram
weeksweeks;unigram
procedureprocedure;unigram
readyready;unigram
duopaduopa;unigram
yearyear;unigram
average;unigram
takes;unigram
initial;unigram
placed;unigram
best;unigram
seems;unigram
vary;unigram
considerably;unigram
also;unigram
aggressive;unigram
douglas;unigram
varian;unigram
familiar;unigram
help;unigram
dayanna;unigram
ocegueda;unigram
companies;unigram
require;unigram
required;unigram
initially;unigram
times;unigram
update;unigram
resubmit;unigram
prolong;unigram
depends;unigram
sometimes;unigram
doctors;unigram
verification;unigram
take;unigram
difficulty;unigram
facilities;unigram
approving;unigram
drug;unigram
includes;unigram
getting;unigram
interventional;unigram
radiology;unigram
setting;unigram
anesthesia;unigram
ir;unigram
lab;unigram
potential;unigram
clinically;unigram
necessary;unigram
truncate;unigram
appears;unigram
pretty;unigram
consistent;unigram
practices;unigram
4-8;unigram
good;unigram
middle;unigram
thanks;unigram
tom;unigram
davis;unigram
sounds;unigram
right;unigram
try;unigram
seen;unigram
one;unigram
nps;unigram
soon;unigram
made;unigram
aware;unigram
eligibility;unigram
decision;unigram
medication;unigram
way;unigram
quickly;unigram
possible;unigram
2-4;unigram
week;unigram
visit;unigram
operative;unigram
typically;unigram
30-45;unigram
pt;unigram
readiness;unigram
leads;unigram
delays;unigram
scheduling;unigram
consult;unigram
case;unigram
already;unigram
cleared;unigram
ship;unigram
indefinite;unigram
question;unigram
quite;unigram
amazing;unigram
caitlin;unigram
houghton;unigram
md;unigram
office;unigram
go;unigram
date;unigram
sign;unigram
reasonable;unigram
timeline;unigram
motivation;unigram
allowed;unigram
month;unigram
authorizing;unigram
timetable;unigram
many;unigram
decided;unigram
hold;unigram
period;unigram
come;unigram
back;unigram
later;unigram
sure;unigram
means;unigram
assume;unigram
sent;unigram
forget;unigram
chart;unigram
different;unigram
medications;unigram
tried;unigram
details;unigram
30-6030-60;unigram
varyvary;unigram
patientpatient;unigram
thoughtsthoughts;unigram
helphelp;unigram
companiescompanies;unigram
writewrite;unigram
reasonreason;unigram
doctorsdoctors;unigram
processprocess;unigram
facilitiesfacilities;unigram
consultationconsultation;unigram
irir;unigram
potentialpotential;unigram
frameframe;unigram
goodgood;unigram
thanksthanks;unigram
davisdavis;unigram
rightright;unigram
npsnps;unigram
decisiondecision;unigram
wayway;unigram
possiblepossible;unigram
availabilityavailability;unigram
delaysdelays;unigram
motivationmotivation;unigram
monthmonth;unigram
timetabletimetable;unigram
periodperiod;unigram
scriptscript;unigram
medicationsmedications;unigram
detailsdetails;unigram
patients;unigram
procedures;unigram
elective;unigram
patient;unigram
changed;unigram
pandemic;unigram
procedure;unigram
patientspatients;unigram
proceduresprocedures;unigram
think;unigram
pandemicpandemic;unigram
surgery;unigram
covid;unigram
covid-19;unigram
much;unigram
duopa;unigram
view;unigram
hours;unigram
testing;unigram
covidcovid;unigram
schedule;unigram
tube;unigram
placement;unigram
able;unigram
observation;unigram
regarding;unigram
hospitalization;unigram
dbs;unigram
likely;unigram
go;unigram
wait;unigram
way;unigram
talk;unigram
assure;unigram
may;unigram
place;unigram
prior;unigram
hospital;unigram
test;unigram
asked;unigram
days;unigram
past;unigram
interested;unigram
sometimes;unigram
ableable;unigram
observationobservation;unigram
hourshours;unigram
procedureprocedure;unigram
daysdays;unigram
interestedinterested;unigram
largest;unigram
issue;unigram
ability;unigram
admission;unigram
since;unigram
admit;unigram
post-procedure;unigram
allowed;unigram
keep;unigram
work-flow;unigram
relatively;unigram
steady;unigram
without;unigram
obstruction;unigram
fears;unigram
play;unigram
part;unigram
well;unigram
interesting;unigram
experience;unigram
opt;unigram
ahead;unigram
rather;unigram
generally;unigram
less;unigram
concerned;unigram
risk;unigram
risky;unigram
going;unigram
grocery;unigram
store;unigram
warn;unigram
typical;unigram
timeline;unigram
prolonged;unigram
agree;unigram
previous;unigram
comments;unigram
practices;unigram
people;unigram
hesitant;unigram
precautions;unigram
every;unigram
tested;unigram
certain;unigram
voiced;unigram
concern;unigram
preference;unigram
calmed;unigram
depends;unigram
comfortable;unigram
mandate;unigram
second;unigram
bad;unigram
phase;unigram
virus;unigram
could;unigram
potentially;unigram
lead;unigram
hosptial;unigram
far;unigram
needed;unigram
immediate;unigram
post;unigram
yes;unigram
counsel;unigram
policies;unigram
also;unigram
pcr;unigram
within;unigram
needs;unigram
resulted;unigram
lt;unigram
like;unigram
trying;unigram
hop;unigram
plane;unigram
hawaii;unigram
northwest;unigram
west;unigram
coast;unigram
really;unigram
required;unigram
undergo;unigram
preoperative;unigram
quarantine;unigram
intervening;unigram
ask;unigram
morning;unigram
operation;unigram
whether;unigram
contact;unigram
symptoms;unigram
fortunately;unigram
rate;unigram
nosocomial;unigram
spread;unigram
seems;unigram
virtually;unigram
nil;unigram
try;unigram
chances;unigram
actually;unigram
getting;unigram
brief;unigram
outpatient;unigram
visit;unigram
quite;unigram
low;unigram
would;unigram
hear;unigram
harold;unigram
boutte;unigram
jr;unigram
md;unigram
several;unigram
suggested;unigram
delaying;unigram
peg-j;unigram
later;unigram
date;unigram
fear;unigram
personal;unigram
reasons;unigram
counseled;unigram
cancelled;unigram
delayed;unigram
nm;unigram
taken;unigram
consideration;unigram
potential;unigram
cause;unigram
delays;unigram
future;unigram
even;unigram
decides;unigram
ready;unigram
process;unigram
guidelines;unigram
ever;unigram
changing;unigram
recommend;unigram
sooner;unigram
based;unigram
medical;unigram
condition;unigram
however;unigram
others;unigram
guiding;unigram
vaccinations;unigram
readily;unigram
available;unigram
nervous;unigram
prefer;unigram
time;unigram
reasonable;unigram
course;unigram
tell;unigram
rush;unigram
kinds;unigram
safety;unigram
measures;unigram
including;unigram
provider;unigram
perspective;unigram
discuss;unigram
work-flowwork-flow;unigram
steadysteady;unigram
fearsfears;unigram
partpart;unigram
duopaduopa;unigram
likelylikely;unigram
riskrisk;unigram
riskyrisky;unigram
storestore;unigram
timelinetimeline;unigram
commentscomments;unigram
peoplepeople;unigram
precautionsprecautions;unigram
thinkthink;unigram
placementplacement;unigram
hospitalizationhospitalization;unigram
counselcounsel;unigram
policiespolicies;unigram
testtest;unigram
needsneeds;unigram
planeplane;unigram
hawaiihawaii;unigram
coastcoast;unigram
spreadspread;unigram
chanceschances;unigram
hospitalhospital;unigram
lowlow;unigram
peg-jpeg-j;unigram
sometimessometimes;unigram
reasonsreasons;unigram
causecause;unigram
futurefuture;unigram
readyready;unigram
surgerysurgery;unigram
guidelinesguidelines;unigram
soonersooner;unigram
conditioncondition;unigram
othersothers;unigram
vaccinationsvaccinations;unigram
measuresmeasures;unigram
perspectiveperspective;unigram
patients;unigram
tube;unigram
would;unigram
duopa;unigram
team;unigram
patientspatients;unigram
houghton;unigram
therapy;unigram
caitlin;unigram
md;unigram
questions;unigram
thakkar;unigram
disease;unigram
placing;unigram
therapytherapy;unigram
help;unigram
carolyn;unigram
sandeep;unigram
ask;unigram
parkinson;unigram
treatment;unigram
good;unigram
taylor;unigram
avram;unigram
know;unigram
say;unigram
questionsquestions;unigram
duopaduopa;unigram
tubetube;unigram
fraint;unigram
sanjiv;unigram
parikh;unigram
richard;unigram
pierce;unigram
harold;unigram
boutte;unigram
jr;unigram
dr;unigram
tubing;unigram
conversations;unigram
patient;unigram
see;unigram
part;unigram
back;unigram
member;unigram
tom;unigram
davis;unigram
membermember;unigram
great;unigram
approached;unigram
potential;unigram
might;unigram
hesitant;unigram
jessica;unigram
karl;unigram
gi;unigram
movement;unigram
well;unigram
helpful;unigram
times;unigram
assist;unigram
certainly;unigram
physician;unigram
etc;unigram
specific;unigram
placed;unigram
tubes;unigram
pd;unigram
together;unigram
rush;unigram
also;unigram
program;unigram
start;unigram
saying;unigram
role;unigram
tend;unigram
answer;unigram
maybe;unigram
next;unigram
meeting;unigram
give;unigram
presentation;unigram
procedure;unigram
members;unigram
fraintfraint;unigram
piercepierce;unigram
houghtonhoughton;unigram
patientpatient;unigram
thakkarthakkar;unigram
rolerole;unigram
feel;unigram
comfortable;unigram
medication;unigram
perspective;unigram
overview;unigram
knowledgeable;unigram
insights;unigram
thank;unigram
often;unigram
new;unigram
surgeons;unigram
much;unigram
awareness;unigram
starting;unigram
experience;unigram
opinion;unigram
proceduralists;unigram
education;unigram
beginning;unigram
neurologists;unigram
seems;unigram
need;unigram
replacement;unigram
question;unigram
geared;unigram
towards;unigram
amp;unigram
trained;unigram
therapies;unigram
phd;unigram
placement;unigram
training;unigram
dbs;unigram
infusion;unigram
advanced;unigram
always;unigram
work;unigram
possible;unigram
sure;unigram
improvement;unigram
yes;unigram
take;unigram
issues;unigram
years;unigram
actually;unigram
directly;unigram
insightsinsights;unigram
surgeonssurgeons;unigram
opinionopinion;unigram
proceduralistsproceduralists;unigram
conversationsconversations;unigram
tubestubes;unigram
therapiestherapies;unigram
workwork;unigram
yesyes;unigram
issuesissues;unigram
membersmembers;unigram
specifically;unigram
regarding;unigram
informed;unigram
time;unigram
care;unigram
common;unigram
expertise;unigram
took;unigram
involved;unigram
drm;unigram
working;unigram
ever;unigram
since;unigram
northwestern;unigram
based;unigram
therapeutics;unigram
along;unigram
rn;unigram
msn;unigram
agpcnp-bc;unigram
interventional;unigram
consultation;unigram
closely;unigram
best;unigram
decide;unigram
candidate;unigram
administered;unigram
route;unigram
make;unigram
safely;unigram
tends;unigram
defer;unigram
related;unigram
office;unigram
symptoms;unigram
seen;unigram
believe;unigram
significantly;unigram
helps;unigram
full;unigram
effects;unigram
electively;unigram
issue;unigram
eager;unigram
parts;unigram
made;unigram
honestly;unigram
probably;unigram
could;unigram
use;unigram
quick;unigram
basics;unigram
somewhat;unigram
addition;unigram
dinner;unigram
brief;unigram
reasons;unigram
candidates;unigram
short;unigram
baseline;unigram
knowledge;unigram
components;unigram
sounds;unigram
like;unigram
discussion;unigram
points;unigram
attend;unigram
finish;unigram
offer;unigram
teams;unigram
many;unigram
hired;unigram
disorder;unigram
moreover;unigram
freka;unigram
trial;unigram
significant;unigram
scheduling;unigram
coaxial;unigram
outcomes;unigram
diseasedisease;unigram
phdphd;unigram
seesee;unigram
placementplacement;unigram
rushrush;unigram
programprogram;unigram
rnrn;unigram
consultationconsultation;unigram
medicationmedication;unigram
parkinsonparkinson;unigram
symptomssymptoms;unigram
questionquestion;unigram
effectseffects;unigram
eagereager;unigram
basicsbasics;unigram
knowledgeableknowledgeable;unigram
additionaddition;unigram
candidatescandidates;unigram
componentscomponents;unigram
soundssounds;unigram
pointspoints;unigram
startstart;unigram
teamsteams;unigram
outcomesoutcomes;unigram
given;unigram
background;unigram
internal;unigram
medicine;unigram
fielding;unigram
disorders;unigram
effect;unigram
motility;unigram
describing;unigram
absorption;unigram
jejunum;unigram
drug;unigram
kinetic;unigram
pump;unigram
programming;unigram
run;unigram
boluses;unigram
alarms;unigram
trouble;unigram
shooting;unigram
invariably;unigram
deferred;unigram
however;unigram
still;unigram
receive;unigram
regardless;unigram
thanks;unigram
typically;unigram
recovery;unigram
day-to-day;unigram
field;unigram
general;unigram
provider;unigram
keeps;unigram
within;unigram
sphere;unigram
without;unigram
extend;unigram
answering;unigram
adam;unigram
stein;unigram
previously;unigram
majority;unigram
nmh;unigram
lead;unigram
past;unigram
year;unigram
treat;unigram
proficient;unigram
fellowship;unigram
focused;unigram
similar;unigram
current;unigram
position;unigram
responsible;unigram
included;unigram
arrived;unigram
soon;unigram
covers;unigram
essentially;unigram
usually;unigram
hesitancy;unigram
due;unigram
unfamiliarity;unigram
proceduralist;unigram
side;unigram
important;unigram
nursing;unigram
staff;unigram
order;unigram
concerns;unigram
troubleshoot;unigram
nurses;unigram
replace;unigram
outer;unigram
occur;unigram
leaks;unigram
especially;unigram
old;unigram
disconnection;unigram
j-tube;unigram
connector;unigram
allows;unigram
valuable;unigram
invited;unigram
university;unigram
natural;unigram
include;unigram
one;unigram
options;unigram
long;unigram
clear;unigram
roles;unigram
communication;unigram
neurology;unigram
managing;unigram
burden;unigram
stable;unigram
support;unigram
abbvie;unigram
excellent;unigram
surgical;unigram
intervention;unigram
readily;unigram
agreed;unigram
recognized;unigram
quickly;unigram
participated;unigram
challenges;unigram
combined;unigram
technical;unigram
leading;unigram
jejunostomy;unigram
pulled;unigram
coiled;unigram
stomach;unigram
angle;unigram
entry;unigram
percutaneous;unigram
tract;unigram
coming;unigram
repositioning;unigram
ir;unigram
taken;unigram
pull;unigram
problems;unigram
easy;unigram
helped;unigram
remarkable;unigram
results;unigram
early;unigram
per;unigram
previous;unigram
technically;unigram
colleague;unigram
mine;unigram
already;unigram
spread;unigram
thin;unigram
additional;unigram
clinical;unigram
volume;unigram
passed;unigram
quite;unigram
thankful;unigram
become;unigram
nice;unigram
niche;unigram
practice;unigram
think;unigram
speak;unigram
seeing;unigram
way;unigram
buy-in;unigram
quality;unigram
life;unigram
involvement;unigram
began;unigram
fda;unigram
approval;unigram
specialist;unigram
expected;unigram
requirement;unigram
lot;unigram
required;unigram
completely;unigram
worth;unigram
pa-c;unigram
ms;unigram
come;unigram
continuous;unigram
dopaminergic;unigram
stimulation;unigram
touted;unigram
decades;unigram
came;unigram
something;unigram
waiting;unigram
pivotal;unigram
study;unigram
moved;unigram
commercial;unigram
live;unigram
little;unigram
bet;unigram
places;unigram
fun;unigram
medicinemedicine;unigram
motilitymotility;unigram
jejunumjejunum;unigram
perspectiveperspective;unigram
pumppump;unigram
timestimes;unigram
alarmsalarms;unigram
troubletrouble;unigram
thanksthanks;unigram
carolyncarolyn;unigram
carecare;unigram
fieldfield;unigram
keepskeeps;unigram
expertiseexpertise;unigram
extendextend;unigram
adamadam;unigram
pdpd;unigram
mdmd;unigram
teamteam;unigram
infusioninfusion;unigram
trainingtraining;unigram
northwesternnorthwestern;unigram
coverscovers;unigram
orderorder;unigram
concernsconcerns;unigram
nursesnurses;unigram
partsparts;unigram
leaksleaks;unigram
connectorconnector;unigram
naturalnatural;unigram
optionsoptions;unigram
gigi;unigram
abbvieabbvie;unigram
excellentexcellent;unigram
physicianphysician;unigram
challengeschallenges;unigram
irir;unigram
problemsproblems;unigram
easyeasy;unigram
trialtrial;unigram
answeranswer;unigram
assistassist;unigram
minemine;unigram
thinthin;unigram
volumevolume;unigram
practicepractice;unigram
involvementinvolvement;unigram
specialistspecialist;unigram
timetime;unigram
informedinformed;unigram
jessicajessica;unigram
etcetc;unigram
tomtom;unigram
stimulationstimulation;unigram
decadesdecades;unigram
somethingsomething;unigram
studystudy;unigram
process;unigram
processprocess;unigram
tube;unigram
nurse;unigram
duopa;unigram
team;unigram
abbvie;unigram
patients;unigram
dayanna;unigram
ocegueda;unigram
phd;unigram
leonard;unigram
verhagen;unigram
gi;unigram
program;unigram
help;unigram
jessica;unigram
md;unigram
tom;unigram
davis;unigram
need;unigram
advanced;unigram
support;unigram
neurology;unigram
also;unigram
karl;unigram
