term;document;value
less;16.txt;1
common;16.txt;1
academic;16.txt;1
mostly;16.txt;1
adequate;16.txt;1
staffing;16.txt;1
resources;16.txt;1
incomplete;16.txt;1
community;16.txt;1
support;16.txt;1
staff;16.txt;1
familiarity;16.txt;1
specialty;16.txt;1
medications;16.txt;1
np;16.txt;1
pa;16.txt;1
submit;16.txt;1
explanation;16.txt;1
family;16.txt;1
affects;16.txt;1
key;16.txt;1
proceduralist;16.txt;1
mds;16.txt;1
detailed;16.txt;1
factors;16.txt;1
written;16.txt;1
pd;16.txt;1
understand;16.txt;1
affecting;16.txt;1
qol;16.txt;1
proceduralists;16.txt;1
comfortable;16.txt;1
moving;16.txt;1
forward;16.txt;1
especially;16.txt;1
new;16.txt;1
script;16.txt;1
convert;16.txt;1
emr;16.txt;1
smartphrase;16.txt;1
forcing;16.txt;1
touch;16.txt;1
upon;16.txt;1
points;16.txt;1
true;16.txt;1
keeps;16.txt;1
line;16.txt;1
agree;16.txt;1
idea;16.txt;1
exact;16.txt;1
delayed;16.txt;1
rejected;16.txt;1
could;16.txt;1
phrases;16.txt;1
even;16.txt;1
easier;16.txt;1
include;16.txt;1
phrase;16.txt;1
remind;16.txt;1
labs;16.txt;1
providersproviders;16.txt;1
candidatescandidates;16.txt;1
endend;16.txt;1
notenote;16.txt;1
companycompany;16.txt;1
weeksweeks;16.txt;1
centercenter;16.txt;1
muchmuch;16.txt;1
deficienciesdeficiencies;16.txt;1
coordinatorcoordinator;16.txt;1
placeplace;16.txt;1
specificspecific;16.txt;1
dbsdbs;16.txt;1
companiescompanies;16.txt;1
jessicajessica;16.txt;1
talktalk;16.txt;1
e-mailse-mails;16.txt;1
basisbasis;16.txt;1
thingsthings;16.txt;1
followupfollowup;16.txt;1
openopen;16.txt;1
highhigh;16.txt;1
vanderbiltvanderbilt;16.txt;1
neurologistsneurologists;16.txt;1
halthalt;16.txt;1
consultconsult;16.txt;1
therapytherapy;16.txt;1
tubestubes;16.txt;1
reasonsreasons;16.txt;1
surprisingsurprising;16.txt;1
experiencesexperiences;16.txt;1
guessguess;16.txt;1
communitycommunity;16.txt;1
practicespractices;16.txt;1
familiarityfamiliarity;16.txt;1
medicationsmedications;16.txt;1
npnp;16.txt;1
numbernumber;16.txt;1
familyfamily;16.txt;1
keykey;16.txt;1
mdsmds;16.txt;1
factorsfactors;16.txt;1
qolqol;16.txt;1
comfortablecomfortable;16.txt;1
somethingsomething;16.txt;1
smartphrasesmartphrase;16.txt;1
touchtouch;16.txt;1
lineline;16.txt;1
completecomplete;16.txt;1
pa-cpa-c;16.txt;1
ideaidea;16.txt;1
newernewer;16.txt;1
documentationdocumentation;16.txt;1
phrasephrase;16.txt;1
platform;17.txt;4
helpful;17.txt;4
virtually;17.txt;3
much;17.txt;3
discuss;17.txt;3
real-time;17.txt;3
would;17.txt;2
also;17.txt;2
still;17.txt;2
harder;17.txt;2
format;17.txt;2
versus;17.txt;2
person;17.txt;2
yes;17.txt;2
platformplatform;17.txt;2
muchmuch;17.txt;2
formatformat;17.txt;2
personperson;17.txt;2
instructions;17.txt;1
simple;17.txt;1
clear;17.txt;1
think;17.txt;1
kick-off;17.txt;1
important;17.txt;1
understand;17.txt;1
expectation;17.txt;1
use;17.txt;1
adds;17.txt;1
personal;17.txt;1
touch;17.txt;1
put;17.txt;1
faces;17.txt;1
names;17.txt;1
group;17.txt;1
walk;17.txt;1
functionalities;17.txt;1
slides;17.txt;1
presented;17.txt;1
virtual;17.txt;1
meeting;17.txt;1
represented;17.txt;1
exactly;17.txt;1
discussed;17.txt;1
navigate;17.txt;1
page;17.txt;1
appreciated;17.txt;1
transparency;17.txt;1
system;17.txt;1
operates;17.txt;1
expectations;17.txt;1
set;17.txt;1
utilize;17.txt;1
way;17.txt;1
us;17.txt;1
providers;17.txt;1
giving;17.txt;1
appropriate;17.txt;1
feedback;17.txt;1
insight;17.txt;1
threads;17.txt;1
thought;17.txt;1
1-hour;17.txt;1
kickoff;17.txt;1
sufficient;17.txt;1
providing;17.txt;1
background;17.txt;1
expected;17.txt;1
participants;17.txt;1
nice;17.txt;1
see;17.txt;1
everyone;17.txt;1
oriented;17.txt;1
website;17.txt;1
terrible;17.txt;1
typist;17.txt;1
easier;17.txt;1
answer;17.txt;1
comment;17.txt;1
instructionsinstructions;17.txt;1
clearclear;17.txt;1
touchtouch;17.txt;1
functionalitiesfunctionalities;17.txt;1
slidesslides;17.txt;1
meetingmeeting;17.txt;1
pagepage;17.txt;1
systemsystem;17.txt;1
expectationsexpectations;17.txt;1
wayway;17.txt;1
providersproviders;17.txt;1
threadsthreads;17.txt;1
sufficientsufficient;17.txt;1
participantsparticipants;17.txt;1
nicenice;17.txt;1
everyoneeveryone;17.txt;1
helpfulhelpful;17.txt;1
yesyes;17.txt;1
typisttypist;17.txt;1
commentcomment;17.txt;1
real-timereal-time;17.txt;1
patients;18.txt;9
would;18.txt;7
helpful;18.txt;7
duopa;18.txt;6
account;18.txt;5
executive;18.txt;5
think;18.txt;5
patientspatients;18.txt;5
local;18.txt;4
representative;18.txt;4
marketing;18.txt;4
patient;18.txt;3
nurse;18.txt;3
like;18.txt;3
satisfied;18.txt;3
may;18.txt;3
better;18.txt;3
could;18.txt;3
younger;18.txt;3
dyskinesias;18.txt;3
sure;18.txt;2
help;18.txt;2
issue;18.txt;2
providing;18.txt;2
updates;18.txt;2
regarding;18.txt;2
company;18.txt;2
changes;18.txt;2
suggestions;18.txt;2
well;18.txt;2
treatment;18.txt;2
also;18.txt;2
feel;18.txt;2
communication;18.txt;2
need;18.txt;2
involved;18.txt;2
success;18.txt;2
stories;18.txt;2
abbvie;18.txt;2
needs;18.txt;2
show;18.txt;2
controlled;18.txt;2
post;18.txt;2
data;18.txt;2
dbs;18.txt;2
ld;18.txt;2
good;18.txt;2
candidates;18.txt;2
issueissue;18.txt;2
updatesupdates;18.txt;2
communicationcommunication;18.txt;2
storiesstories;18.txt;2
dyskinesiasdyskinesias;18.txt;2
already;18.txt;1
mandatorily;18.txt;1
assigned;18.txt;1
educator;18.txt;1
tremendous;18.txt;1
seen;18.txt;1
felt;18.txt;1
over-confident;18.txt;1
abilities;18.txt;1
since;18.txt;1
tubes;18.txt;1
ultimately;18.txt;1
fail;18.txt;1
seek;18.txt;1
large;18.txt;1
issues;18.txt;1
tried;18.txt;1
inappropriately;18.txt;1
manipulate;18.txt;1
connectors;18.txt;1
entirely;18.txt;1
fix;18.txt;1
least;18.txt;1
provide;18.txt;1
opt;18.txt;1
scenario;18.txt;1
opposed;18.txt;1
opt-in;18.txt;1
support;18.txt;1
maybe;18.txt;1
semi-annual;18.txt;1
annual;18.txt;1
medication;18.txt;1
along;18.txt;1
specific;18.txt;1
handouts;18.txt;1
us;18.txt;1
distribute;18.txt;1
points;18.txt;1
contact;18.txt;1
clinic;18.txt;1
procedures;18.txt;1
none;18.txt;1
pretty;18.txt;1
update;18.txt;1
side;18.txt;1
harold;18.txt;1
boutte;18.txt;1
jr;18.txt;1
md;18.txt;1
mentioned;18.txt;1
happy;18.txt;1
believe;18.txt;1
podcasts;18.txt;1
targeted;18.txt;1
potential;18.txt;1
parkinson;18.txt;1
physicians;18.txt;1
initiated;18.txt;1
conversation;18.txt;1
gel;18.txt;1
dedicated;18.txt;1
gj;18.txt;1
tube;18.txt;1
facilitate;18.txt;1
understanding;18.txt;1
periodic;18.txt;1
worthwhile;18.txt;1
coordinated;18.txt;1
zoom;18.txt;1
conferences;18.txt;1
line;18.txt;1
consideration;18.txt;1
basically;18.txt;1
platform;18.txt;1
families;18.txt;1
ask;18.txt;1
questions;18.txt;1
panel;18.txt;1
regulatory;18.txt;1
thing;18.txt;1
ambassadors;18.txt;1
communicate;18.txt;1
team;18.txt;1
directly;18.txt;1
currently;18.txt;1
ambassador;18.txt;1
speak;18.txt;1
duoconnect;18.txt;1
relay;18.txt;1
correct;18.txt;1
wrong;18.txt;1
makes;18.txt;1
less;18.txt;1
familiar;18.txt;1
disjointed;18.txt;1
imagine;18.txt;1
open;18.txt;1
lines;18.txt;1
responsive;18.txt;1
interesting;18.txt;1
point;18.txt;1
general;18.txt;1
tend;18.txt;1
automatically;18.txt;1
directed;18.txt;1
towards;18.txt;1
question;18.txt;1
end;18.txt;1
always;18.txt;1
best;18.txt;1
strategy;18.txt;1
instance;18.txt;1
young;18.txt;1
fluctuators;18.txt;1
significant;18.txt;1
resistant;18.txt;1
tremor;18.txt;1
high;18.txt;1
daily;18.txt;1
doses;18.txt;1
infusion;18.txt;1
therapies;18.txt;1
showing;18.txt;1
possibility;18.txt;1
change;18.txt;1
image;18.txt;1
therapy;18.txt;1
suresure;18.txt;1
patientpatient;18.txt;1
educatoreducator;18.txt;1
abilitiesabilities;18.txt;1
tubestubes;18.txt;1
issuesissues;18.txt;1
connectorsconnectors;18.txt;1
scenarioscenario;18.txt;1
supportsupport;18.txt;1
companycompany;18.txt;1
handoutshandouts;18.txt;1
nonenone;18.txt;1
sideside;18.txt;1
mdmd;18.txt;1
suggestionssuggestions;18.txt;1
podcastspodcasts;18.txt;1
conversationconversation;18.txt;1
treatmenttreatment;18.txt;1
tubetube;18.txt;1
lineline;18.txt;1
familiesfamilies;18.txt;1
panelpanel;18.txt;1
thingthing;18.txt;1
ambassadorsambassadors;18.txt;1
teamteam;18.txt;1
feelfeel;18.txt;1
familiarfamiliar;18.txt;1
generalgeneral;18.txt;1
endend;18.txt;1
ldld;18.txt;1
therapiestherapies;18.txt;1
possibilitypossibility;18.txt;1
candidatescandidates;18.txt;1
datadata;18.txt;1
patients;19.txt;45
patientspatients;19.txt;27
duopa;19.txt;24
patient;19.txt;17
care;19.txt;12
tube;19.txt;11
process;19.txt;10
experience;19.txt;10
partner;19.txt;9
start;19.txt;9
may;19.txt;8
carolyn;19.txt;7
taylor;19.txt;7
mind;19.txt;7
one;19.txt;7
therapy;19.txt;7
jessica;19.txt;7
karl;19.txt;7
certain;19.txt;7
also;19.txt;6
reasons;19.txt;6
tom;19.txt;6
davis;19.txt;6
speaking;19.txt;6
mentor;19.txt;6
line;19.txt;6
lack;19.txt;6
others;19.txt;6
patientpatient;19.txt;6
othersothers;19.txt;6
agree;19.txt;5
well;19.txt;5
recommend;19.txt;5
support;19.txt;5
two;19.txt;5
come;19.txt;5
hesitant;19.txt;5
procedure;19.txt;5
would;19.txt;5
reasonsreasons;19.txt;5
processprocess;19.txt;5
another;19.txt;4
speak;19.txt;4
sometimes;19.txt;4
even;19.txt;4
think;19.txt;4
never;19.txt;4
great;19.txt;4
insights;19.txt;4
leonard;19.txt;4
verhagen;19.txt;4
suggest;19.txt;4
potential;19.txt;4
talk;19.txt;4
via;19.txt;4
caregivers;19.txt;4
curious;19.txt;4
reinforce;19.txt;4
facilitating;19.txt;4
conversation;19.txt;4
go;19.txt;4
tomtom;19.txt;4
insightsinsights;19.txt;4
caregiverscaregivers;19.txt;4
fear;19.txt;3
reach;19.txt;3
help;19.txt;3
reason;19.txt;3
getting;19.txt;3
helpful;19.txt;3
fears;19.txt;3
treatment;19.txt;3
deal;19.txt;3
centers;19.txt;3
going;19.txt;3
see;19.txt;3
phd;19.txt;3
tubetube;19.txt;3
fearsfears;19.txt;3
supportsupport;19.txt;3
centerscenters;19.txt;3
procedureprocedure;19.txt;3
partnerpartner;19.txt;3
conversationconversation;19.txt;3
experienceexperience;19.txt;3
30-40;19.txt;2
enrolling;19.txt;2
becoming;19.txt;2
dislodged;19.txt;2
related;19.txt;2
issues;19.txt;2
within;19.txt;2
troubleshoot;19.txt;2
attention;19.txt;2
absolutely;19.txt;2
considering;19.txt;2
current;19.txt;2
due;19.txt;2
work;19.txt;2
pump;19.txt;2
guess;19.txt;2
families;19.txt;2
rn;19.txt;2
msn;19.txt;2
agpcnp-bc;19.txt;2
half;19.txt;2
douglas;19.txt;2
varian;19.txt;2
interested;19.txt;2
someone;19.txt;2
already;19.txt;2
undergone;19.txt;2
tend;19.txt;2
utilize;19.txt;2
family;19.txt;2
dbs;19.txt;2
marketing;19.txt;2
could;19.txt;2
since;19.txt;2
pa-c;19.txt;2
probably;19.txt;2
educating;19.txt;2
providing;19.txt;2
literature;19.txt;2
information;19.txt;2
filling;19.txt;2
forms;19.txt;2
communicating;19.txt;2
colleagues;19.txt;2
find;19.txt;2
end;19.txt;2
decides;19.txt;2
result;19.txt;2
become;19.txt;2
insightful;19.txt;2
whether;19.txt;2
serious;19.txt;2
wanting;19.txt;2
less;19.txt;2
learning;19.txt;2
guided;19.txt;2
enthusiasm;19.txt;2
board;19.txt;2
mention;19.txt;2
partners;19.txt;2
main;19.txt;2
problem;19.txt;2
feel;19.txt;2
technology;19.txt;2
pull;19.txt;2
plug;19.txt;2
hearing;19.txt;2
form;19.txt;2
often;19.txt;2
doubt;19.txt;2
familiesfamilies;19.txt;2
mindmind;19.txt;2
davisdavis;19.txt;2
treatmenttreatment;19.txt;2
rnrn;19.txt;2
duopaduopa;19.txt;2
interestedinterested;19.txt;2
someonesomeone;19.txt;2
jessicajessica;19.txt;2
informationinformation;19.txt;2
formsforms;19.txt;2
colleaguescolleagues;19.txt;2
decidesdecides;19.txt;2
resultresult;19.txt;2
insightfulinsightful;19.txt;2
seriousserious;19.txt;2
boardboard;19.txt;2
problemproblem;19.txt;2
plugplug;19.txt;2
doubtdoubt;19.txt;2
primary;19.txt;1
concerns;19.txt;1
managing;19.txt;1
clogged;19.txt;1
established;19.txt;1
nmh;19.txt;1
us;19.txt;1
appointment;19.txt;1
clinic;19.txt;1
24-48;19.txt;1
hours;19.txt;1
arrange;19.txt;1
replacement;19.txt;1
endoscopically;19.txt;1
week;19.txt;1
outpatient;19.txt;1
long;19.txt;1
admission;19.txt;1
personally;19.txt;1
attest;19.txt;1
degree;19.txt;1
avram;19.txt;1
fraint;19.txt;1
contribute;19.txt;1
population;19.txt;1
seen;19.txt;1
signing;19.txt;1
tubes;19.txt;1
protocol;19.txt;1
detail;19.txt;1
loved;19.txt;1
ones;19.txt;1
confused;19.txt;1
night;19.txt;1
pulling;19.txt;1
caught;19.txt;1
doors;19.txt;1
etc;19.txt;1
dexterity;19.txt;1
issue;19.txt;1
concerned;19.txt;1
order;19.txt;1
alarms;19.txt;1
program;19.txt;1
mitigating;19.txt;1
try;19.txt;1
best;19.txt;1
take;19.txt;1
troubleshooting;19.txt;1
home;19.txt;1
call;19.txt;1
page;19.txt;1
afterhours;19.txt;1
added;19.txt;1
gives;19.txt;1
piece;19.txt;1
still;19.txt;1
remaining;19.txt;1
taking;19.txt;1
l-dopa;19.txt;1
good;19.txt;1
response;19.txt;1
drug;19.txt;1
decide;19.txt;1
want;19.txt;1
given;19.txt;1
thinks;19.txt;1
nearly;19.txt;1
enrolled;19.txt;1
suspect;19.txt;1
case;19.txt;1
questions;19.txt;1
living;19.txt;1
permanent;19.txt;1
tubing;19.txt;1
maybe;19.txt;1
lot;19.txt;1
sign;19.txt;1
consent;19.txt;1
follow;19.txt;1
adequate;19.txt;1
close;19.txt;1
systems;19.txt;1
big;19.txt;1
teams;19.txt;1
aggressive;19.txt;1
procedures;19.txt;1
shift;19.txt;1
towards;19.txt;1
spectrum;19.txt;1
strategies;19.txt;1
deployed;19.txt;1
abbvie;19.txt;1
corporate;19.txt;1
entity;19.txt;1
understand;19.txt;1
sure;19.txt;1
patietns;19.txt;1
change;19.txt;1
neurologists;19.txt;1
seeing;19.txt;1
nps;19.txt;1
similar;19.txt;1
40-50;19.txt;1
social;19.txt;1
familial;19.txt;1
secondarily;19.txt;1
many;19.txt;1
proceed;19.txt;1
robust;19.txt;1
group;19.txt;1
ask;19.txt;1
comfortable;19.txt;1
share;19.txt;1
prospective;19.txt;1
interest;19.txt;1
nothing;19.txt;1
better;19.txt;1
goes;19.txt;1
intended;19.txt;1
surgeon;19.txt;1
mds;19.txt;1
different;19.txt;1
center;19.txt;1
justice;19.txt;1
explaining;19.txt;1
md;19.txt;1
concernsconcerns;19.txt;1
nmhnmh;19.txt;1
clinicclinic;19.txt;1
hourshours;19.txt;1
replacementreplacement;19.txt;1
outpatientoutpatient;19.txt;1
admissionadmission;19.txt;1
populationpopulation;19.txt;1
detaildetail;19.txt;1
fearfear;19.txt;1
duedue;19.txt;1
onesones;19.txt;1
nightnight;19.txt;1
doorsdoors;19.txt;1
issueissue;19.txt;1
troubleshoottroubleshoot;19.txt;1
helpfulhelpful;19.txt;1
workwork;19.txt;1
helphelp;19.txt;1
issuesissues;19.txt;1
decidedecide;19.txt;1
thinksthinks;19.txt;1
suspectsuspect;19.txt;1
questionsquestions;19.txt;1
permanentpermanent;19.txt;1
consentconsent;19.txt;1
lacklack;19.txt;1
systemssystems;19.txt;1
proceduresprocedures;19.txt;1
towardstowards;19.txt;1
thinkthink;19.txt;1
strategiesstrategies;19.txt;1
suresure;19.txt;1
neurologistsneurologists;19.txt;1
npsnps;19.txt;1
nothingnothing;19.txt;1
mdsmds;19.txt;1
justicejustice;19.txt;1
phdphd;19.txt;1
karlkarl;19.txt;1
depends;2.txt;5
cost;2.txt;4
may;2.txt;3
product;2.txt;2
like;2.txt;2
taste;2.txt;2
could;2.txt;2
education;2.txt;2
actually;2.txt;2
many;2.txt;2
reinforce;2.txt;1
importance;2.txt;1
using;2.txt;1
trial;2.txt;1
higher;2.txt;1
likelihood;2.txt;1
adherence;2.txt;1
much;2.txt;1
costs;2.txt;1
go;2.txt;1
purchase;2.txt;1
makes;2.txt;1
feel;2.txt;1
best;2.txt;1
answer;2.txt;1
availability;2.txt;1
local;2.txt;1
stores;2.txt;1
shop;2.txt;1
economic;2.txt;1
status;2.txt;1
think;2.txt;1
biggest;2.txt;1
obstacle;2.txt;1
alleviate;2.txt;1
burden;2.txt;1
would;2.txt;1
helpful;2.txt;1
success;2.txt;1
eyes;2.txt;1
beholder;2.txt;1
perceived;2.txt;1
benefit;2.txt;1
way;2.txt;1
track;2.txt;1
help;2.txt;1
encourage;2.txt;1
continued;2.txt;1
use;2.txt;1
protein;2.txt;1
tracker;2.txt;1
dietician;2.txt;1
website;2.txt;1
touch-point;2.txt;1
follow;2.txt;1
contact;2.txt;1
via;2.txt;1
mail;2.txt;1
email;2.txt;1
text;2.txt;1
thoughts;2.txt;1
flavor;2.txt;1
doable;2.txt;1
seen;2.txt;1
prescriptions;2.txt;1
half;2.txt;1
filled;2.txt;1
pharmacy;2.txt;1
even;2.txt;1
fewer;2.txt;1
taken;2.txt;1
reasons;2.txt;1
including;2.txt;1
patient;2.txt;1
motivation;2.txt;1
proper;2.txt;1
instruction;2.txt;1
etc;2.txt;1
factors;2.txt;1
make;2.txt;1
hard;2.txt;1
say;2.txt;1
yes;2.txt;1
question;2.txt;1
liked;2.txt;1
afford;2.txt;1
importanceimportance;2.txt;1
trialtrial;2.txt;1
adherenceadherence;2.txt;1
costscosts;2.txt;1
productproduct;2.txt;1
feelfeel;2.txt;1
answeranswer;2.txt;1
storesstores;2.txt;1
statusstatus;2.txt;1
obstacleobstacle;2.txt;1
burdenburden;2.txt;1
successsuccess;2.txt;1
tracktrack;2.txt;1
useuse;2.txt;1
contactcontact;2.txt;1
thoughtsthoughts;2.txt;1
doabledoable;2.txt;1
prescriptionsprescriptions;2.txt;1
pharmacypharmacy;2.txt;1
reasonsreasons;2.txt;1
motivationmotivation;2.txt;1
educationeducation;2.txt;1
factorsfactors;2.txt;1
hardhard;2.txt;1
questionquestion;2.txt;1
tastetaste;2.txt;1
months;20.txt;7
would;20.txt;6
data;20.txt;6
centers;20.txt;5
us;20.txt;5
monthsmonths;20.txt;5
days;20.txt;4
patient;20.txt;4
guess;20.txt;4
duopa;20.txt;4
time;20.txt;4
looking;20.txt;4
centerscenters;20.txt;4
vs;20.txt;3
procedures;20.txt;3
estimate;20.txt;3
see;20.txt;3
clarify;20.txt;3
across;20.txt;3
missing;20.txt;3
agree;20.txt;3
jessica;20.txt;3
karl;20.txt;3
question;20.txt;3
daysdays;20.txt;3
proceduresprocedures;20.txt;3
datadata;20.txt;3
procedure;20.txt;2
also;20.txt;2
availability;20.txt;2
2-3;20.txt;2
much;20.txt;2
say;20.txt;2
regularly;20.txt;2
prescribe;20.txt;2
longer;20.txt;2
weeks;20.txt;2
case;20.txt;2
brad;20.txt;2
durbin;20.txt;2
douglas;20.txt;2
varian;20.txt;2
kendall;20.txt;2
cook;20.txt;2
eric;20.txt;2
lynch;20.txt;2
share;20.txt;2
information;20.txt;2
analyze;20.txt;2
phd;20.txt;2
pa-c;20.txt;2
bias;20.txt;2
regularity;20.txt;2
frequent;20.txt;2
think;20.txt;2
30-45;20.txt;2
region;20.txt;2
frame;20.txt;2
average;20.txt;2
timetime;20.txt;2
weeksweeks;20.txt;2
casecase;20.txt;2
lynchlynch;20.txt;2
informationinformation;20.txt;2
frequentfrequent;20.txt;2
questionquestion;20.txt;2
roughly;20.txt;1
30-60;20.txt;1
based;20.txt;1
willingness;20.txt;1
scheduling;20.txt;1
admission;20.txt;1
oour;20.txt;1
hospitalized;20.txt;1
overnight;20.txt;1
monitoring;20.txt;1
adds;20.txt;1
coordination;20.txt;1
well;20.txt;1
challenging;20.txt;1
covid;20.txt;1
given;20.txt;1
fear;20.txt;1
hospitalization;20.txt;1
exposure;20.txt;1
hospital;20.txt;1
bed;20.txt;1
elective;20.txt;1
still;20.txt;1
quicker;20.txt;1
dbs;20.txt;1
varies;20.txt;1
similarly;20.txt;1
northwestern;20.txt;1
1-3;20.txt;1
3-6;20.txt;1
cleared;20.txt;1
ship;20.txt;1
take;20.txt;1
4-6;20.txt;1
depends;20.txt;1
gi;20.txt;1
clearance;20.txt;1
script;20.txt;1
mean;20.txt;1
preauthorization;20.txt;1
process;20.txt;1
complete;20.txt;1
writing;20.txt;1
yes;20.txt;1
really;20.txt;1
sure;20.txt;1
one;20.txt;1
assuming;20.txt;1
practices;20.txt;1
face;20.txt;1
challenges;20.txt;1
readiness;20.txt;1
least;20.txt;1
several;20.txt;1
sandeep;20.txt;1
thakkar;20.txt;1
good;20.txt;1
implies;20.txt;1
country;20.txt;1
stayed;20.txt;1
fairly;20.txt;1
steady;20.txt;1
years;20.txt;1
increased;20.txt;1
decreased;20.txt;1
point;20.txt;1
without;20.txt;1
dat;20.txt;1
oether;20.txt;1
bit;20.txt;1
non-experienced;20.txt;1
willingnesswillingness;20.txt;1
admissionadmission;20.txt;1
patientpatient;20.txt;1
monitoringmonitoring;20.txt;1
coordinationcoordination;20.txt;1
covidcovid;20.txt;1
exposureexposure;20.txt;1
dbsdbs;20.txt;1
variesvaries;20.txt;1
shipship;20.txt;1
clarifyclarify;20.txt;1
completecomplete;20.txt;1
suresure;20.txt;1
practicespractices;20.txt;1
readinessreadiness;20.txt;1
jessicajessica;20.txt;1
impliesimplies;20.txt;1
countrycountry;20.txt;1
frameframe;20.txt;1
yearsyears;20.txt;1
karlkarl;20.txt;1
bitbit;20.txt;1
would;21.txt;7
patients;21.txt;7
patientspatients;21.txt;7
tube;21.txt;6
think;21.txt;6
see;21.txt;4
patient;21.txt;4
patientpatient;21.txt;4
typically;21.txt;3
estimate;21.txt;3
one;21.txt;3
peg-j;21.txt;3
enroll;21.txt;3
tubetube;21.txt;3
could;21.txt;2
defer;21.txt;2
lower;21.txt;2
probably;21.txt;2
less;21.txt;2
go;21.txt;2
placed;21.txt;2
placement;21.txt;2
duopa;21.txt;2
first;21.txt;2
seen;21.txt;2
surgeon;21.txt;2
process;21.txt;2
neurologist;21.txt;2
may;21.txt;2
want;21.txt;2
processprocess;21.txt;2
30-40;21.txt;1
due;21.txt;1
fear;21.txt;1
managing;21.txt;1
pump;21.txt;1
technology;21.txt;1
10-20;21.txt;1
hello;21.txt;1
thank;21.txt;1
comments;21.txt;1
topic;21.txt;1
improve;21.txt;1
percentage;21.txt;1
carolyn;21.txt;1
taylor;21.txt;1
rn;21.txt;1
msn;21.txt;1
agpcnp-bc;21.txt;1
surprised;21.txt;1
guessed;21.txt;1
anxious;21.txt;1
consistently;21.txt;1
prevails;21.txt;1
tom;21.txt;1
davis;21.txt;1
pretty;21.txt;1
sure;21.txt;1
practically;21.txt;1
us;21.txt;1
gen;21.txt;1
surg;21.txt;1
clinic;21.txt;1
eventually;21.txt;1
recent;21.txt;1
previously;21.txt;1
gastric;21.txt;1
bypass;21.txt;1
required;21.txt;1
modified;21.txt;1
laparoscopic;21.txt;1
since;21.txt;1
represent;21.txt;1
significantly;21.txt;1
invasive;21.txt;1
procedure;21.txt;1
trial;21.txt;1
nasojejunal;21.txt;1
felt;21.txt;1
much;21.txt;1
benefit;21.txt;1
medication;21.txt;1
decided;21.txt;1
proceed;21.txt;1
permanent;21.txt;1
ca;21.txt;1
ultimately;21.txt;1
gotten;21.txt;1
10-15;21.txt;1
asked;21.txt;1
move;21.txt;1
forward;21.txt;1
confident;21.txt;1
idea;21.txt;1
therapy;21.txt;1
keeps;21.txt;1
great;21.txt;1
job;21.txt;1
instilling;21.txt;1
confidence;21.txt;1
based;21.txt;1
outcomes;21.txt;1
prior;21.txt;1
cases;21.txt;1
wish;21.txt;1
able;21.txt;1
start;21.txt;1
auth;21.txt;1
seeing;21.txt;1
proceduralist;21.txt;1
affect;21.txt;1
number;21.txt;1
reasonable;21.txt;1
covid;21.txt;1
higher;21.txt;1
usual;21.txt;1
like;21.txt;1
stay;21.txt;1
form;21.txt;1
hospital;21.txt;1
answer;21.txt;1
brad;21.txt;1
durbin;21.txt;1
ways;21.txt;1
bring;21.txt;1
sandeep;21.txt;1
thakkar;21.txt;1
suggested;21.txt;1
prescribe;21.txt;1
neuro;21.txt;1
gi;21.txt;1
reassured;21.txt;1
usually;21.txt;1
time;21.txt;1
come;21.txt;1
interventional;21.txt;1
therapies;21.txt;1
something;21.txt;1
delay;21.txt;1
good;21.txt;1
practice;21.txt;1
discovers;21.txt;1
trepidation;21.txt;1
patien;21.txt;1
side;21.txt;1
fearfear;21.txt;1
technologytechnology;21.txt;1
commentscomments;21.txt;1
thinkthink;21.txt;1
percentagepercentage;21.txt;1
rnrn;21.txt;1
estimateestimate;21.txt;1
anxiousanxious;21.txt;1
tomtom;21.txt;1
suresure;21.txt;1
clinicclinic;21.txt;1
bypassbypass;21.txt;1
procedureprocedure;21.txt;1
medicationmedication;21.txt;1
placementplacement;21.txt;1
peg-jpeg-j;21.txt;1
10-1510-15;21.txt;1
therapytherapy;21.txt;1
keepskeeps;21.txt;1
jobjob;21.txt;1
ableable;21.txt;1
enrollenroll;21.txt;1
numbernumber;21.txt;1
covidcovid;21.txt;1
bradbrad;21.txt;1
waysways;21.txt;1
thakkarthakkar;21.txt;1
gigi;21.txt;1
comecome;21.txt;1
therapiestherapies;21.txt;1
somethingsomething;21.txt;1
practicepractice;21.txt;1
sideside;21.txt;1
patients;22.txt;10
procedure;22.txt;10
would;22.txt;8
time;22.txt;7
duopa;22.txt;7
patientspatients;22.txt;7
peg-j;22.txt;6
patient;22.txt;6
often;22.txt;5
days;22.txt;5
months;22.txt;5
script;22.txt;5
usually;22.txt;4
insurance;22.txt;4
second;22.txt;4
thoughts;22.txt;4
frame;22.txt;4
clearance;22.txt;4
weeks;22.txt;4
daysdays;22.txt;4
monthsmonths;22.txt;4
range;22.txt;3
surgeon;22.txt;3
know;22.txt;3
wait;22.txt;3
agree;22.txt;3
likely;22.txt;3
delay;22.txt;3
think;22.txt;3
sped;22.txt;3
clinic;22.txt;3
proceed;22.txt;3
30-60;22.txt;2
say;22.txt;2
day;22.txt;2
believe;22.txt;2
evaluated;22.txt;2
surgery;22.txt;2
prior;22.txt;2
med;22.txt;2
approval;22.txt;2
better;22.txt;2
none;22.txt;2
ever;22.txt;2
complained;22.txt;2
consultation;22.txt;2
based;22.txt;2
proceeding;22.txt;2
leo;22.txt;2
1-2;22.txt;2
signing;22.txt;2
